,,봄 ( 3 ~ 5 ) ,*,*,여  름 ( 6 ~ 8 ) ,*,*,가  을 ( 9 ~ 11 ) ,*,*,겨  을 ( 12 ~ 2 ) ,*,*,
적용일자,발전기명,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일
2024-07-01,분당복합1CC,1.0224,1.0185,1.019,1.0348,1.0215,1.0232,1.032,1.0256,1.027,1.0243,1.0168,1.0162
2024-07-01,분당복합2CC,1.0224,1.0185,1.019,1.0348,1.0215,1.0232,1.032,1.0256,1.027,1.0243,1.0168,1.0162
2024-07-01,일산복합1CC,1.0121,1.0135,1.0124,1.0174,1.0114,1.0123,1.015,1.017,1.0163,1.0206,1.0193,1.0147
2024-07-01,일산복합2CC,1.0121,1.0135,1.0124,1.0174,1.0114,1.0123,1.015,1.017,1.0163,1.0206,1.0193,1.0147
2024-07-01,부천복합CC,1.0103,1.0074,1.0091,1.0122,1.0075,1.0128,1.0162,1.013,1.013,1.0198,1.0194,1.0153
2024-07-01,평택복합#2CC,1.0124,1.0094,1.0092,1.0191,1.0125,1.0111,1.017,1.013,1.0127,1.0174,1.0117,1.0085
2024-07-01,울산복합CC#1,1.0103,1.0015,0.998,1.0299,1.012,1.0127,1.0129,0.9955,0.9855,1.0207,1.0049,0.9911
2024-07-01,울산복합CC#2,1.0106,1.0013,0.998,1.0304,1.0129,1.0127,1.0115,0.9956,0.9853,1.0206,1.0049,0.9911
2024-07-01,울산복합CC#3,1.0106,1.0013,0.998,1.0304,1.0129,1.0127,1.0115,0.9956,0.9853,1.0206,1.0049,0.9911
2024-07-01,울산복합CC#4,1.0106,1.0013,0.998,1.0304,1.0129,1.0127,1.0115,0.9956,0.9853,1.0206,1.0049,0.9911
2024-07-01,서울복합1CC,1.0078,1.0097,1.0096,1.0161,1.0103,1.0123,1.0164,1.0155,1.0169,1.0176,1.0176,1.0135
2024-07-01,서울복합2CC,1.0078,1.0097,1.0096,1.0161,1.0103,1.0123,1.0164,1.0155,1.0169,1.0176,1.0176,1.0135
2024-07-01,보령복합1CC,0.9951,0.9948,0.9936,0.9981,0.9967,0.996,0.9982,0.9969,0.9957,0.9993,0.9978,0.9974
