순위,거래년월,발전기명,연료비(원/kWh),열량단가(원/Gcal),TLF,최대용량(95%),2차계수,1차계수,상수,권역
152,24-Dec,서인천복합1CC#8,150.421,86203,1.0126,266,0.001308,0.93083,129.859845,경기
153,24-Dec,신인천복합2_CC#3,150.708,85841,1.0106,520,6.00E-05,1.65267,46.988398,경기
154,24-Dec,파주열병합1CC,150.816,86167,1.0132,551,2.00E-06,1.684374,48.433192,경기
155,24-Dec,울산복합CC#3,151.021,86326,1.0206,520,9.80E-05,1.615746,61.728975,경남
156,24-Dec,보령복합2CC,151.085,86166,0.9993,529,2.40E-05,1.625893,60.11086,충청
157,24-Dec,울산복합CC#2,151.552,86195,1.0206,520,0.000127,1.617363,57.73973,경남
158,24-Dec,양주열병합CC,151.728,86120,1.0054,554,2.00E-06,1.668115,56.556458,경기
159,24-Dec,서인천복합1CC#5,151.918,86310,1.0126,266,0.00086,1.165144,103.317928,경기
160,24-Dec,서인천복합1CC#1,152.145,86202,1.0126,266,0.001809,0.769101,142.821583,경기
161,24-Dec,보령복합1CC,152.175,86174,0.9993,529,3.40E-05,1.614102,70.151902,충청
162,24-Dec,남제주복합CC,152.35,85910,0.9999,139,2.00E-05,1.628892,19.629106,제주
163,24-Dec,서인천복합1CC#6,152.963,86452,1.0126,266,0.00119,1.049064,113.324095,경기
164,24-Dec,보령복합3CC,153.325,86155,1.0023,529,2.00E-06,1.707606,39.726174,충청
165,24-Dec,제주복합1CC,153.376,86248,1,121,0.001613,1.151817,52.107204,제주
166,24-Dec,화성열병합 CC#1,153.434,86202,1.025,553,0.000209,1.619076,49.652147,경기
167,24-Dec,포스코에너지복합4CC,154.838,80933,1.0225,479,0.000706,1.329129,138.39405,경기
168,24-Dec,포스코에너지복합3CC,156.371,80960,1.0221,514,0.0005,1.473174,125.400093,경기
169,24-Dec,제주복합2CC,157.1,86187,1,100,0.000966,1.266079,45.919018,제주
170,24-Dec,영월복합1CC,159.071,86704,0.9827,832,0.000288,1.357447,171.257969,강원
171,24-Dec,광교열병합1CC,163.116,86160,1.0266,164,0.000376,1.474871,66.869338,경기
172,24-Dec,수완에너지열병합CC,164.575,86173,1.0257,132,4.30E-05,1.858874,12.458808,호남
173,24-Dec,송도열병합발전1CC,164.612,86027,1.0283,215,0.001004,1.558529,41.557745,경기
174,24-Dec,별내에너지열병합CC,167.707,85990,1.0263,135,0.000983,1.663943,27.660662,경기
175,24-Dec,분당복합2CC,168.666,86358,1.0243,404,0.00051,1.489417,123.237895,경기
176,24-Dec,일산복합2CC,174.056,86440,1.0206,353,0.000344,1.753538,63.602226,경기
