발전기명,권역,출력량(MWh),상태,연료비(원/kWh),총 비용(원)
울산복합CC#1,경남,0.0,1.0,175.433,0.0
일산복합1CC,경기,692.0,1.0,175.87,121702.04000000001
분당복합1CC,경기,669.0,1.0,177.784,118937.496
아산열병합CC,경기,114.0,1.0,184.935,21082.59
판교열병합1CC,경기,152.0,1.0,185.017,28122.584
한림복합CC,경기,117.0,1.0,193.219,22606.623
인천공항복합1CC,경기,148.0,1.0,198.439,29368.971999999998
평택#1,경기,234.88994,1.0,199.398,46836.58425612
평택#2,경기,0.0,1.0,200.074,0.0
평택#4,경기,0.0,1.0,201.511,0.0
평택#3,경기,0.0,1.0,201.633,0.0
부산정관에너지#1CC,경남,0.0,1.0,204.666,0.0
제주내연#2,제주,0.0,1.0,217.577,0.0
무림파워텍열병합,경남,0.0,1.0,219.189,0.0
제주내연#1,제주,0.0,1.0,222.301,0.0
안산도시개발열병합,경기,0.0,1.0,242.66,0.0
남제주#2,제주,0.0,1.0,252.867,0.0
제주화력#3,제주,0.0,1.0,253.723,0.0
남제주#1,제주,0.0,1.0,256.244,0.0
논현열병합,경기,0.0,1.0,263.608,0.0
제주화력#2,제주,0.0,1.0,264.625,0.0
수원열병합#1,경기,0.0,1.0,264.888,0.0
대전서남부열병합,경남,0.0,1.0,277.696,0.0
노원열병합#1,경기,0.0,1.0,288.195,0.0
대산복합#1C/C,경기,0.0,1.0,293.025,0.0
목동열병합#1,경기,0.0,1.0,317.521,0.0
대산복합#2G/T,충청,0.0,1.0,384.995,0.0
제주ㅎㅎ발전,제주,786.0,1.0,20.0,15720.0
